Source_ID,H2,CH4,C2H6,C2H4,C2H2,Type,Source,Fault_Type,R1,R2,R4,R5
2543,0.3465328467153284,-0.182521186440678,-0.22116241754323407,-0.1596927966101695,-0.05333333333333333,PD,dataset2,3,-0.567304277358498,-0.020474068783467598,-0.22744903938892372,-0.06860987405745694
2544,0.12773722627737227,0.21769067796610164,0.861116063469424,0.5304555084745762,-0.042222222222222223,NF,dataset2,2,-0.14083475109739632,-0.017226279889745687,1.2569326102534095,-0.01926143585969748
2545,-0.2274817518248175,-0.25699152542372883,-0.21652701016223924,-0.11287076271186441,-0.048888888888888885,NF,dataset2,2,-0.4810115987163084,-0.0042043103784849805,0.5299508768029683,0.45803032205820177
2546,-0.2274817518248175,-0.25699152542372883,-0.21652701016223924,-0.11287076271186441,-0.048888888888888885,NF,dataset2,2,-0.4810115987163084,-0.0042043103784849805,0.5299508768029683,0.45803032205820177
2547,-0.25364963503649635,-0.24629237288135591,-0.2175075771082189,-0.1506885593220339,0.017777777777777785,NF,dataset2,2,-0.1835103907866319,0.7865059481036701,0.1836356175383983,0.021294395995157478
2548,-0.11277372262773722,-0.16260593220338984,-0.09983954359065786,0.1570444915254237,-0.026666666666666665,NF,dataset2,2,-0.35507755738351465,-0.0037439952626366945,0.5280611895494426,0.45855579955394854
2549,-0.20437956204379562,-0.1652542372881356,-0.05348546978070957,-0.10513771186440678,0.4133333333333334,NF,dataset2,2,-0.04327552589095296,1.480004400116054,0.8556486261606494,-0.10326092026223194
2550,-0.22627737226277372,-0.21292372881355934,-0.21215903013014797,-0.140625,-0.048888888888888885,NF,dataset2,2,-0.16013791330401872,0.011881262082290286,-0.050485043529998844,0.08026064879424805
2551,-0.20437956204379562,-0.1652542372881356,-0.05348546978070957,-0.05746822033898306,0.4133333333333334,NF,dataset2,2,-0.04327552589095296,0.8369421991591162,0.8556486261606494,-0.030758571993005267
2552,-0.26131386861313866,-0.2039194915254237,-0.13727937243715457,-0.1464512711864407,-0.05333333333333333,NF,dataset2,2,0.8548335625613117,-0.020474068783467598,0.6662444417196711,-0.13867873407191164
2553,-0.11277372262773722,-0.16260593220338984,5.241576038509538,-0.08501059322033898,0.21333333333333332,NF,dataset2,2,-0.35507755738351465,0.6307281600336846,34.96497206980123,-0.19558450672495342
2554,-0.2274817518248175,-0.25699152542372883,-0.14672847209841328,-0.15434322033898304,-0.048888888888888885,NF,dataset2,2,-0.4810115987163084,0.04280388457022862,3.1590368329582703,-0.15643389484677864
2555,-0.1678832116788321,-0.15466101694915255,-0.14619361740060616,-0.13109110169491525,-0.044444444444444446,NF,dataset2,2,-0.19406570319813463,0.027831073072452618,0.18947920891772224,-0.08661729943313273
2556,-0.16058394160583941,-0.13877118644067798,-0.1871991442324835,0.11202330508474574,-0.048888888888888885,NF,dataset2,2,-0.16722048223814395,-0.01723853569689181,-0.09484123715121937,1.2944232380389713
2557,-0.2281021897810219,-0.25635593220338987,0.6953111071492244,-0.1538665254237288,-0.048888888888888885,NF,dataset2,2,-0.4744574380701957,0.040769950355288395,33.76260820966314,-0.1954194607288934
2558,-0.2798175182481752,-0.27510593220338986,-0.240328044214655,-0.16726694915254237,-0.05333333333333333,NF,dataset2,2,-0.16722048223814395,-0.020474068783467598,-0.18989022348240625,0.941981267285786
2559,-0.2598540145985402,-0.2621822033898305,-0.2246389730789802,-0.16445974576271186,-0.05333333333333333,NF,dataset2,2,-0.3555801819086287,-0.020474068783467598,0.4437696853921729,-0.124743097527188
2560,-0.2262043795620438,-0.2542372881355932,-0.15332501337136742,-0.03628177966101696,-0.048888888888888885,NF,dataset2,2,-0.46419797323095685,-0.013614738639926927,2.503164389234555,0.2316308788861008
2561,-0.1386861313868613,-0.1467690677966102,-0.07666250668568374,-0.10815677966101696,0.08,NF,dataset2,2,-0.2606695311939767,0.4296132109764189,0.5483791999523984,-0.09484171641430181
2562,-0.11018248175182481,-0.08792372881355932,-0.16482438937422,-0.1316207627118644,-0.04711111111111111,NF,dataset2,2,-0.18320581460068028,0.013822581934235755,-0.08461546137457768,-0.060776191311678426
2563,-0.15547445255474454,-0.2606991525423729,2.7188447138527363,-0.021822033898305088,0.0022222222222222244,NF,dataset2,2,-0.5769697428267854,0.05682635205520745,137.28156381909096,-0.18580076732949444
2564,-0.11313868613138686,-0.21514830508474578,0.05437689427705474,-0.12356991525423729,-0.03933333333333333,NF,dataset2,2,-0.48049328401679253,0.042926429902427676,3.151927073139306,-0.1563855009275787
2565,-0.13572992700729927,-0.14671610169491525,-0.07692993403458726,-0.1083156779661017,0.09177777777777779,NF,dataset2,2,-0.26798830550587854,0.4706599864503107,0.5464872498042297,-0.09494637043349828
2566,-0.1145985401459854,-0.0805614406779661,-0.17026207880192548,-0.1288665254237288,0.6355555555555555,NF,dataset2,2,-0.1536028455868407,3.51408767406495,-0.11609171341396379,-0.03889596635571174
2567,-0.1583941605839416,-0.2603813559322034,0.05500089142449636,-0.017743644067796615,0.001555555555555562,NF,dataset2,2,-0.5747211448408474,0.05383534110488966,13.102272789339134,-0.05457629649226183
2568,-0.1281021897810219,-0.09846398305084747,-0.11321091103583525,-0.12134533898305086,-0.039999999999999994,NF,dataset2,2,-0.15888282799767317,0.037070647185833326,0.145736485764403,-0.09416855117858533
2569,-0.138014598540146,-0.1467690677966102,-0.07695667676947761,-0.10816207627118643,0.0917911111111111,NF,dataset2,2,-0.2623925022904513,0.46945879318396944,0.5467141932093983,-0.09466211359920593
2570,-0.11018613138686133,-0.08114936440677968,-0.1648190408272419,-0.12887870762711864,-0.047028888888888884,NF,dataset2,2,-0.1672306955177067,0.01188276844272007,-0.09483917529517487,-0.05049525609579498
2571,-0.1276751824817518,-0.098448093220339,-0.10834373328579068,-0.12122033898305085,-0.04088444444444444,NF,dataset2,2,-0.160146257240098,0.033112056579270084,0.1657608968831082,-0.09778930292417175
2572,-0.11265693430656935,-0.2151906779661017,0.05477803530041008,-0.12355932203389831,-0.039357777777777776,NF,dataset2,2,-0.4810155012871588,0.04280087734526872,3.159173787549781,-0.15643441299498825
2573,0.060218978102189784,-0.08209745762711863,0.7505794259226244,0.1988877118644068,-0.028888888888888884,NF,dataset2,2,-0.39823721600122763,-0.006883897389564972,3.3639577068624065,-0.09435025995336416
2574,0.12773722627737227,0.21769067796610164,0.9359957211624175,0.4859639830508474,-0.042222222222222223,NF,dataset2,2,-0.14083475109739632,-0.01700555637269663,1.368179655348432,-0.04152407219055712
2575,-0.2291970802919708,-0.2531779661016949,-0.11624175432340879,-0.1555614406779661,-0.049555555555555554,NF,dataset2,2,-0.4465330599219546,0.0383004334545321,3.540350449169719,-0.1698772135143772
2576,0.01313868613138684,-0.22934322033898305,-0.19343911570689962,-0.1438029661016949,-0.04666666666666667,NF,dataset2,2,-0.5630666659354205,0.03425462917031434,0.35584047331800384,-0.04991013568676325
2577,-0.22627737226277372,-0.21292372881355934,-0.19343911570689962,-0.1517478813559322,-0.048888888888888885,NF,dataset2,2,-0.16013791330401872,0.03311444796294388,0.1657514003734513,-0.09778904492115821
2578,-0.15656934306569342,-0.2023305084745763,-0.21839900160456407,-0.1628707627118644,-0.05333333333333333,NF,dataset2,2,-0.3876939990584929,-0.020474068783467598,-0.15933876359023905,-0.12549497373146143
2579,-0.24306569343065693,-0.23569915254237286,-0.2264218220716705,-0.16445974576271186,-0.05333333333333333,NF,dataset2,2,-0.19497189416752872,-0.020474068783467598,-0.12323249280858688,-0.11534464497376971
2580,-0.2240875912408759,-0.2611228813559322,-0.1961133891959351,0.05058262711864405,0.03333333333333333,NF,dataset2,2,-0.5189653720915733,0.06029702892126856,1.7504201181749262,1.200814650606925
2581,-0.15816423357664236,-0.2607505296610169,0.054983062934569435,-0.021859110169491536,0.0016711111111111145,NF,dataset2,2,-0.5760299147084981,0.05607885645591787,13.417810720539219,-0.05853059125134236
2582,-0.11277372262773722,-0.16260593220338984,0.30754145123908005,-0.08501059322033898,-0.026666666666666665,NF,dataset2,2,-0.35507755738351465,0.04464615409824761,3.1545078304498206,-0.15646860565872675
2583,-0.2274817518248175,-0.25699152542372883,-0.14672847209841328,-0.15434322033898304,-0.048888888888888885,NF,dataset2,2,-0.4810115987163084,0.04280388457022862,3.1590368329582703,-0.15643389484677864
2584,-0.1678832116788321,-0.15466101694915255,-0.14619361740060616,-0.13109110169491525,-0.044444444444444446,NF,dataset2,2,-0.19406570319813463,0.027831073072452618,0.18947920891772224,-0.08661729943313273
