power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA,target
75.0,0,3.1556016597510377,0.0,0,1,34,0.20012,2.142857142857143,6.311203319502075,0.0026331578947368,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,17,0.6717,2.5,6.311203319502075,0.0146021739130434,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,85,0.54353,0.872093023255814,6.311203319502075,0.0071517105263157,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
15.0,0,3.1556016597510377,0.0,0,1,1,0.0,7.5,6.311203319502075,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
50.0,0,3.1556016597510377,0.0,0,1,143,0.85701,0.3472222222222222,6.311203319502075,0.0168041176470588,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,30,0.20904,2.419354838709677,6.311203319502075,0.0027505263157894,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,45,0.20639,0.9782608695652174,6.311203319502075,0.0044867391304347,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,60,0.28252,1.2295081967213115,6.311203319502075,0.0037173684210526,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,51,0.20504,1.4423076923076923,6.311203319502075,0.0026978947368421,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,36,0.20816,2.027027027027027,6.311203319502075,0.002738947368421,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,17,0.9213,4.166666666666667,6.311203319502075,0.0121223684210526,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,120,0.5236,0.9297520661157024,6.311203319502075,0.0046132158590308,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,23,0.10244,3.125,6.311203319502075,0.0013478947368421,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,27,0.14071,2.6785714285714284,6.311203319502075,0.001851447368421,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
112.5,0,3.1556016597510377,0.0,0,1,67,0.17034,1.6544117647058822,6.311203319502075,0.0015007929515418,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,55,0.24508,2.008928571428572,6.311203319502075,0.002159295154185,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.2,0,1,146,0.34724,0.7653061224489796,6.311203319502075,0.0030593832599118,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
30.0,0,3.1556016597510377,0.0,0,1,8,0.0,3.333333333333333,6.311203319502075,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,146,0.53825,0.5102040816326531,6.311203319502075,0.0070822368421052,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,26,0.8657,2.7777777777777777,6.311203319502075,0.0113907894736842,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,34,0.11468,3.2142857142857144,6.311203319502075,0.0010103964757709,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
30.0,0,3.1556016597510377,0.0,0,1,1,0.13458,15.0,6.311203319502075,0.0043412903225806,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
112.5,0,3.1556016597510377,0.0,0,1,35,0.12505,3.125,6.311203319502075,0.0011017621145374,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
15.0,0,3.1556016597510377,0.0,0,1,1,0.0,7.5,6.311203319502075,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,42,0.27938,2.616279069767442,6.311203319502075,0.0024614977973568,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,57,0.37551,1.9396551724137927,6.311203319502075,0.0033084581497797,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,32,0.5849,3.409090909090909,6.311203319502075,0.0051533039647577,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,56,0.25414,1.3157894736842106,6.311203319502075,0.003343947368421,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,36,0.25974,3.0405405405405403,6.311203319502075,0.0022884581497797,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,45,0.61165,2.4456521739130435,6.311203319502075,0.0053889867841409,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,18,0.6063,2.3684210526315788,6.311203319502075,0.0131804347826086,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,191,0.29602,0.5859375,6.311203319502075,0.0026081057268722,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,106,0.20565,0.7009345794392523,6.311203319502075,0.0027059210526315,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
25.0,0,3.1556016597510377,0.0,0,1,77,0.80962,0.3205128205128205,6.311203319502075,0.0311392307692307,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
30.0,0,3.1556016597510377,0.0,0,1,43,0.47266,0.6818181818181818,6.311203319502075,0.0152470967741935,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,30,0.11639,1.4516129032258065,6.311203319502075,0.0025302173913043,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
125.0,0,3.1556016597510377,0.0,0,1,177,0.57195,0.702247191011236,6.311203319502075,0.0045392857142857,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,107,0.53333,0.4166666666666667,6.311203319502075,0.0115941304347826,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
25.0,0,3.1556016597510377,0.0,1,0,1,0.0,12.5,6.311203319502075,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112.5,0,3.1556016597510377,0.0,0,1,1,0.25839,56.25,6.311203319502075,0.0022765638766519,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,94,0.35905,1.1842105263157894,6.311203319502075,0.003163436123348,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,46,0.22003,1.5957446808510638,6.311203319502075,0.0028951315789473,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,71,0.39881,0.625,6.311203319502075,0.0086697826086956,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
75.0,0,3.1556016597510377,0.0,0,1,114,0.58841,0.6521739130434783,6.311203319502075,0.0077422368421052,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
225.0,0,3.1556016597510377,0.0,0,1,71,0.23894,3.125,6.311203319502075,0.0010572566371681,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
112.5,0,3.1556016597510377,0.0,0,1,46,0.0,2.393617021276596,6.311203319502075,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45.0,0,3.1556016597510377,0.0,0,1,75,0.18345,0.5921052631578947,6.311203319502075,0.0039880434782608,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
