power,selfprotection,average_earth_discharge_density_ddt_rayskm2ao,burning_rate__failuresyear,criticality_according_to_previous_study_for_ceramics_level,removable_connectors,number_of_users,km_of_network_lt,power_per_user,lightning_risk_score,network_density,historical_risk_index,type_of_clients_COMMERCIAL,type_of_clients_INDUSTRIAL,type_of_clients_OFFICIAL,type_of_clients_STRATUM 1,type_of_clients_STRATUM 2,type_of_clients_STRATUM 3,type_of_clients_STRATUM 4,type_of_clients_STRATUM 5,type_of_clients_STRATUM 6,type_of_installation_CABINA,type_of_installation_EN H,type_of_installation_MACRO WITHOUT ANTI-FRAUD NET,type_of_installation_OTROS,type_of_installation_PAD MOUNTED,type_of_installation_POLE,type_of_installation_POLE WITH ANTI-FRAUD NET,type_of_installation_TORRE METALICA,target
2.390358688112683,0,0.5299771705653277,-0.4697767424334218,0,1,3.925381092492162,-0.5732433442718919,-0.17607754946251636,0.6377452522846383,-0.4994574353161981,-0.23060671593389653,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,0.1822077327721642,-0.5732476490155154,-0.004163137103180593,0.6377452522846383,-0.49945779232107373,-0.23060671593389653,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2.390358688112683,0,0.5299771705653277,-0.4697767424334218,0,1,-0.7299941784201043,-0.573250202566236,5.5394537831797495,0.6377452522846383,-0.49945823946435286,-0.23060671593389653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,1,1,-0.7299941784201043,-0.573237569582609,3.6085310356654703,0.6377452522846383,-0.4994560273470536,-0.23060671593389653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,-0.6985389401031296,-0.573246770151913,2.3212492039892845,0.6377452522846383,-0.4994576384263617,-0.23060671593389653,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,0.4653048776249372,-0.5732472433442739,-0.060222184611659624,0.6377452522846383,-0.4994577212854105,-0.23060671593389653,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1.3386028089899107,0,0.5299771705653277,-0.4697767424334218,0,1,1.1887753589153571,-0.5732441784844315,-0.13071618967964124,0.6377452522846383,-0.4994571846085907,-0.23060671593389653,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.49719810569169287,0,0.5299771705653277,-0.4697767424334218,0,1,0.11929725613821465,-0.5732474065656895,-0.0935139561205265,0.6377452522846383,-0.4994574305636154,-0.23060671593389653,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3.442114567235455,0,0.5299771705653277,-0.4697767424334218,0,1,0.27657344772308856,-0.5732419285064855,0.20102030475791935,0.6377452522846383,-0.49945751024612395,-0.23060671593389653,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0.49719810569169287,0,0.5299771705653277,-0.4697767424334218,0,1,0.05638677950426511,-0.5732482669154365,-0.08167688180626272,0.6377452522846383,-0.4994576794682681,-0.23060671593389653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
